code_stop,line_salida,trayect_salida,time_salida,time
421,9,3,5:00,5:38
127,7,4,5:00,5:39
354,14,1,4:50,5:39
10,7,3,5:35,5:40
41,24,3,5:00,5:40
129,7,4,5:00,5:40
156,9,3,5:00,5:40
422,9,3,5:00,5:40
1079,14,1,4:50,5:40
11,7,3,5:35,5:41
130,7,4,5:00,5:41
146,24,3,5:00,5:41
351,14,1,4:50,5:41
82,9,4,5:55,5:42
148,24,3,5:00,5:42
219,24,3,5:00,5:42
363,14,1,4:50,5:42
620,9,3,5:00,5:42
14,7,3,5:35,5:43
131,7,4,5:00,5:43
220,24,3,5:00,5:43
361,14,1,4:50,5:43
2300,14,1,4:50,5:43
15,7,3,5:35,5:44
71,9,3,5:00,5:44
73,9,3,5:00,5:44
132,7,4,5:00,5:44
222,24,3,5:00,5:44
360,14,1,4:50,5:44
364,14,1,4:50,5:44
134,7,4,5:00,5:45
221,24,3,5:00,5:45
223,24,3,5:00,5:45
17,7,3,5:35,5:46
133,7,4,5:00,5:46
135,7,4,5:00,5:46
365,14,1,4:50,5:46
664,24,3,5:00,5:46
792,14,1,4:50,5:46
16,7,3,5:35,5:47
77,9,4,5:55,5:47
136,7,4,5:00,5:47
666,24,3,5:00,5:47
668,24,3,5:00,5:47
791,14,1,4:50,5:47
795,14,1,4:50,5:47
1080,14,1,4:50,5:47
137,7,4,5:00,5:48
670,24,3,5:00,5:48
1085,14,1,4:50,5:48
19,7,3,5:35,5:49
20,7,3,5:35,5:49
138,7,4,5:00,5:49
156,24,3,5:00,5:49
794,14,1,4:50,5:49
800,14,1,4:50,5:49
21,7,3,5:35,5:50
22,7,3,5:35,5:50
157,24,3,5:00,5:50
23,7,3,5:35,5:51
158,24,3,5:00,5:51
213,14,5,6:00,5:51
797,14,1,4:50,5:51
799,14,1,4:50,5:51
801,14,1,4:50,5:51
633,7,3,5:35,5:52
804,14,1,4:50,5:52
1082,14,1,4:50,5:52
24,7,3,5:35,5:53
25,7,3,5:35,5:53
159,24,3,5:00,5:53
160,24,3,5:00,5:53
667,7,3,5:35,5:54
807,14,1,4:50,5:54
26,7,3,5:35,5:55
139,24,5,6:00,5:55
181,24,3,6:00,5:55
805,14,1,4:50,5:55
808,14,1,4:50,5:55
182,24,3,6:00,5:56
811,14,1,4:50,5:56
28,7,3,5:35,5:57
29,7,3,5:35,5:57
213,9,1,6:00,5:57
810,14,1,4:50,5:57
812,14,1,4:50,5:57
30,7,3,5:35,5:58
31,7,3,5:35,5:59
32,7,3,5:35,5:59
33,7,3,5:35,6:00
77,24,4,6:00,6:00
78,9,4,5:55,6:00
815,14,1,4:50,6:00
1629,14,1,4:50,6:00
34,7,3,5:35,6:01
79,9,4,5:55,6:01
814,14,1,4:50,6:01
816,14,1,4:50,6:01
29,14,5,6:00,6:02
35,7,3,5:35,6:02
78,24,4,6:00,6:02
80,9,4,5:55,6:02
140,24,5,6:00,6:02
1121,24,4,6:00,6:02
1161,24,3,6:00,6:02
9,24,5,6:00,6:03
36,7,3,5:35,6:03
38,7,3,5:35,6:03
79,24,4,6:00,6:03
81,9,4,5:55,6:03
141,24,5,6:00,6:03
186,24,3,6:00,6:03
187,24,3,6:00,6:03
820,14,2,6:10,6:03
29,9,1,6:00,6:04
81,24,4,6:00,6:04
188,24,3,6:00,6:04
423,9,4,5:55,6:04
817,14,1,4:50,6:04
39,7,3,5:35,6:05
82,24,4,6:00,6:05
174,24,5,6:00,6:05
366,15,2,6:20,6:05
424,9,4,5:55,6:05
37,7,3,5:35,6:06
42,7,3,5:35,6:06
175,24,5,6:00,6:06
189,24,3,6:00,6:06
398,9,1,6:00,6:06
1093,7,3,5:35,6:06
84,24,4,6:00,6:07
176,24,5,6:00,6:07
291,9,4,5:55,6:07
347,5,2,6:20,6:07
425,9,4,5:55,6:07
745,9,1,6:00,6:07
43,7,3,5:35,6:08
155,24,4,6:00,6:08
213,12,1,6:15,6:08
427,9,4,5:55,6:08
672,24,4,6:00,6:08
1171,9,1,6:00,6:08
44,7,3,5:35,6:09
177,24,5,6:00,6:09
426,9,4,5:55,6:09
673,24,4,6:00,6:09
45,7,3,5:35,6:10
742,9,1,6:00,6:10
743,9,1,6:00,6:10
1025,24,5,6:00,6:10
46,7,3,5:35,6:11
48,7,3,5:35,6:11
166,9,4,5:55,6:11
167,9,4,5:55,6:11
292,9,4,5:55,6:11
597,9,1,6:00,6:11
674,24,4,6:00,6:11
50,7,3,5:35,6:12
293,9,4,5:55,6:12
598,9,1,6:00,6:12
599,9,1,6:00,6:12
821,14,2,6:10,6:12
890,9,1,6:00,6:12
10,24,5,6:00,6:13
11,24,5,6:00,6:13
54,7,3,5:35,6:13
55,7,3,5:35,6:13
165,9,4,5:55,6:13
291,24,4,6:00,6:13
600,9,1,6:00,6:13
678,24,4,6:00,6:13
9,24,3,6:00,6:14
58,7,3,5:35,6:14
109,9,4,5:55,6:14
141,24,3,6:00,6:14
293,24,4,6:00,6:14
822,14,2,6:10,6:14
956,9,1,6:00,6:14
14,24,5,6:00,6:15
34,14,5,6:00,6:15
165,24,4,6:00,6:15
168,9,4,5:55,6:15
294,24,4,6:00,6:15
823,14,2,6:10,6:15
885,7,3,5:35,6:15
886,7,3,5:35,6:15
10,24,3,6:00,6:16
34,9,1,6:00,6:16
35,14,5,6:00,6:16
149,7,3,5:35,6:16
166,24,4,6:00,6:16
213,49,1,6:30,6:16
367,55,2,6:20,6:16
824,14,2,6:10,6:16
2218,14,2,6:10,6:16
11,24,3,6:00,6:17
15,24,5,6:00,6:17
29,12,1,6:15,6:17
36,14,5,6:00,6:17
38,14,5,6:00,6:17
42,9,4,5:55,6:17
167,24,4,6:00,6:17
215,9,1,6:00,6:17
220,7,3,5:35,6:17
222,7,3,5:35,6:17
295,9,4,5:55,6:17
2305,8,1,6:15,6:17
14,24,3,6:00,6:18
369,55,2,6:20,6:18
595,12,1,6:15,6:18
605,9,1,6:00,6:18
606,9,1,6:00,6:18
625,9,4,5:55,6:18
825,14,2,6:10,6:18
826,14,2,6:10,6:18
2306,8,1,6:15,6:18
15,24,3,6:00,6:19
37,14,5,6:00,6:19
168,24,4,6:00,6:19
295,24,4,6:00,6:19
756,8,1,6:15,6:19
827,14,2,6:10,6:19
17,24,5,6:00,6:20
109,24,4,6:00,6:20
421,7,3,5:35,6:20
596,12,1,6:15,6:20
607,9,1,6:00,6:20
617,7,3,5:35,6:20
693,12,1,6:15,6:20
695,12,1,6:15,6:20
900,9,4,5:55,6:20
16,24,3,6:00,6:21
17,24,3,6:00,6:21
20,24,5,6:00,6:21
40,14,5,6:00,6:21
110,24,4,6:00,6:21
139,6,1,6:30,6:21
293,8,1,6:15,6:21
368,55,2,6:20,6:21
368,15,2,6:20,6:21
422,7,3,5:35,6:21
608,9,1,6:00,6:21
877,55,2,6:20,6:21
1633,14,2,6:10,6:21
18,24,3,6:00,6:22
21,24,5,6:00,6:22
22,24,5,6:00,6:22
