rowid,line,trayect,time,mod
776,7,1,9:15,
777,24,1,9:35,
778,1,3,9:38,
779,24,3,10:00,
780,24,1,10:05,
781,24,5,10:30,
782,1,3,10:38,
783,24,3,11:00,
784,7,1,11:15,
785,24,1,11:35,
786,1,3,11:38,
787,6,1,12:05,
788,24,3,12:00,
789,7,1,12:15,
790,48,1,12:40,
791,6,1,12:40,
792,24,5,12:30,
793,1,3,12:38,
794,24,1,13:05,
795,24,3,13:00,
796,1,3,13:38,
797,24,1,14:05,
798,24,3,14:00,
799,24,5,14:30,
800,1,3,14:38,
801,24,1,17:35,
802,24,3,18:00,
803,7,1,18:15,
804,24,1,19:05,
805,24,1,19:35,
806,7,1,20:15,
807,24,1,20:35,
808,24,1,21:05,
809,24,1,22:05,
810,7,3,23:05,
811,7,3,1:05,
812,24,5,6:00,
813,24,3,6:00,
814,6,1,6:30,
815,24,1,7:35,
816,24,3,9:00,
817,7,3,1:05,
818,24,3,5:00,
819,24,5,6:00,
820,1,1,7:50,
821,1,3,7:38,
822,24,3,8:00,
823,7,1,8:15,
824,24,5,8:30,
825,1,3,8:38,
826,24,1,10:05,
827,24,3,10:00,
828,7,1,10:15,
829,1,3,10:38,
830,24,1,11:35,
831,48,1,12:40,
832,1,3,13:38,
833,24,1,14:05,
834,7,1,14:15,
835,24,5,14:30,
836,24,3,15:00,
837,24,1,15:05,
838,24,1,17:35,
839,24,3,18:00,
840,7,1,18:15,
841,24,1,19:05,
842,24,3,20:00,
843,24,1,20:35,
844,7,3,21:30,
845,24,1,22:05,
846,7,3,23:05,
847,7,3,4:05,
848,7,3,5:35,
849,24,3,6:00,
850,6,1,6:30,
851,48,1,7:00,
852,1,3,6:38,
853,24,3,7:00,
854,7,1,7:15,
855,24,1,7:35,
856,24,5,7:45,
857,1,5,8:00,
858,24,5,9:00,
859,24,3,12:00,
860,7,1,12:15,
861,24,5,12:30,
862,7,3,1:05,
863,7,3,4:05,
864,24,3,5:00,
865,7,3,5:35,
866,24,5,6:00,
867,24,3,6:00,
868,7,3,6:30,
869,6,1,6:30,
870,48,1,7:00,
871,1,1,6:45,
872,24,5,7:00,
873,48,1,7:15,
874,7,1,7:15,
875,24,1,7:35,
876,1,1,7:50,
877,1,3,7:38,
878,24,5,7:45,
879,24,3,8:00,
880,7,1,8:15,
881,24,5,8:30,
882,1,3,8:38,
883,24,3,9:00,
884,24,5,9:00,
885,7,1,9:15,
886,6,1,9:30,
887,24,1,9:35,
888,24,3,10:00,
889,24,1,10:05,
890,24,5,10:30,
891,1,3,10:38,
892,24,3,11:00,
893,7,1,11:15,
894,24,1,11:35,
895,1,3,11:38,
896,6,1,12:05,
897,24,3,12:00,
898,7,1,12:15,
899,48,1,12:40,
900,24,5,12:30,
901,6,1,12:40,
902,1,3,12:38,
903,24,3,13:00,
904,24,1,13:05,
905,1,3,13:38,
906,24,1,14:05,
907,24,3,14:00,
908,7,1,14:15,
909,24,5,14:30,
910,1,3,14:38,
911,24,1,15:05,
912,24,1,17:35,
913,24,3,18:00,
914,7,1,18:15,
915,24,5,18:30,
916,24,1,19:05,
917,7,1,19:15,
918,24,1,19:35,
919,24,3,20:00,
920,7,1,20:15,
921,24,1,20:35,
922,24,1,21:05,
923,7,3,21:30,
924,24,1,22:05,
925,7,3,23:05,
926,1,3,6:38,
927,24,3,7:00,
928,1,5,8:00,
929,1,3,9:38,
930,7,3,1:05,
931,7,3,5:35,
932,24,5,6:00,
933,49,1,6:30,
934,7,3,6:30,
935,48,1,7:00,
936,1,1,6:45,
937,24,3,7:00,
938,49,1,7:30,
939,24,1,7:35,
940,1,1,7:50,
941,1,3,7:38,
942,1,5,8:00,
943,7,1,8:15,
944,1,3,8:38,
945,7,1,9:15,
946,24,3,10:00,
947,24,1,10:05,
948,7,1,10:15,
949,1,3,10:38,
950,7,1,11:15,
951,24,1,11:35,
952,1,3,11:38,
953,24,3,12:00,
954,7,1,12:15,
955,48,1,12:40,
956,6,1,12:40,
957,24,5,12:30,
958,1,3,12:38,
959,24,1,13:05,
960,7,1,13:15,
961,1,3,13:38,
962,24,1,14:05,
963,24,3,14:00,
964,7,1,14:15,
965,24,3,15:00,
966,24,1,15:05,
967,7,1,18:15,
968,24,5,18:30,
969,24,1,19:05,
970,7,1,19:15,
971,24,1,19:35,
972,24,1,21:05,
973,7,3,21:30,
974,24,1,22:05,
975,7,3,23:05,
976,7,3,4:05,
977,24,3,6:00,
978,1,3,6:38,
979,48,1,7:15,
980,7,1,7:15,
981,24,5,7:45,
982,24,3,8:00,
983,24,5,8:30,
984,24,5,9:00,
985,24,3,9:00,
986,6,1,9:30,
987,24,1,9:35,
988,1,3,9:38,
989,24,3,11:00,
990,49,1,11:30,
991,6,1,12:05,
992,7,3,1:05,
993,7,3,4:05,
994,14,1,4:50,
995,9,3,5:00,
996,24,3,5:00,
997,7,3,5:35,
998,14,5,6:00,
999,9,1,6:00,
1000,12,1,6:15,
1001,24,5,6:00,
1002,24,3,6:00,
1003,49,1,6:30,
1004,12,1,6:45,
1005,15,1,6:45,
1006,50,3,6:57,
1007,7,3,6:30,
1008,6,1,6:30,
1009,50,1,7:00,
1010,9,1,7:00,
1011,48,1,7:00,
1012,12,5,7:12,
1013,1,1,6:45,
1014,12,1,7:15,
1015,24,5,7:00,
1016,48,1,7:15,
1017,24,3,7:00,
1018,9,1,7:30,
1019,49,1,7:30,
1020,7,1,7:15,
1021,12,3,7:43,
1022,12,1,7:45,
1023,15,1,7:45,
1024,55,1,7:55,
1025,24,1,7:35,
1026,50,1,8:00,
1027,9,1,8:00,
1028,12,5,8:12,
1029,1,1,7:50,
1030,1,3,7:38,
1031,12,1,8:15,
1032,24,5,7:45,
1033,1,5,8:00,
1034,24,3,8:00,
1035,9,1,8:30,
1036,7,1,8:15,
1037,12,1,8:45,
1038,15,1,8:45,
1039,55,1,8:55,
1040,24,5,8:30,
1041,9,1,9:00,
1042,50,1,9:00,
1043,1,3,8:38,
1044,12,1,9:15,
1045,24,3,9:00,
1046,24,5,9:00,
1047,49,1,9:30,
1048,9,1,9:30,
1049,7,1,9:15,
1050,14,1,9:45,
1051,12,1,9:45,
1052,55,1,9:55,
1053,24,1,9:35,
1054,50,1,10:00,
1055,9,1,10:00,
1056,1,3,9:38,
1057,12,1,10:15,
1058,24,1,10:05,
1059,24,3,10:00,
1060,9,1,10:30,
1061,7,1,10:15,
1062,12,1,10:45,
1063,15,1,10:45,
1064,55,1,10:55,
1065,24,5,10:30,
1066,9,1,11:00,
1067,50,1,11:00,
1068,1,3,10:38,
1069,12,1,11:15,
1070,49,1,11:30,
1071,24,3,11:00,
1072,9,1,11:30,
1073,7,1,11:15,
1074,12,5,11:42,
1075,12,1,11:45,
1076,15,1,11:45,
1077,50,3,11:57,
1078,24,1,11:35,
1079,9,1,12:00,
1080,50,1,12:00,
1081,1,3,11:38,
1082,12,1,12:15,
1083,55,1,11:55,
1084,6,1,12:05,
1085,9,1,12:30,
1086,24,3,12:00,
1087,7,1,12:15,
